index,label,tweet
1043,1,You know its a gonna be a good day when your roommate comes in saying she just took her aderol and is about to have an anxiety attack 
1192,1,"We rebooted the server, it seems ok now YEY! #facepalm  #devops"
1279,0,#your biggest task is to get me to look #how shall one do that?  looking #none of them #cleverclogs #shld #know #my #nakhre too
1198,0,@JaredDudley619 @_John_Henson_ @JabariParker When / how did the ACL tear happen?
1839,0,Lol at people saying they're turning 13 this year when did I start following kids #sorry
569,0,"@kevinperry Would be also great if David teamed up with his old man again at the Carols, similar to a few years back.#Greatdou in both cases"
2591,1,It's super duper fun waking up and immediately shoveling your car out of your driveway for 20 minutes  #fuckinsnow
1205,0,ruling party in power#central#state#misusing their power#PM speaking only in foreign parliment#pm to visit out side india during session
3050,1,so I have pink eye. I'm sooo excited about it :/ 
59,1,@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me. 
3626,1,"Dear #USPS, if it has this address, it comes here. No matter the name. If there's a mistake, we'll fix it. #ThanksForTheAnnoyingNote "
3119,1,There's nothing like almost rear-ending someone because they slam on brakes for no reason to get you alert and ready for an exam!! 
1872,0,@RenuGill_x someone's on the defensive...if the shoe fits 🐸☕️
368,1,"@Bad_Cat_ Wow, that is just so funny... "
131,1,"The Bay Area storm is so big that tons of people's work was canceled today, causing me to be early to mine. #irony #stormageddon"
398,0,http://t.co/9OaDmAo6uY <-Video $ #SmartPhone can pay you to post!||#iphone #samsung #S4 #S3 #ipad #tablet #mlm|Start@ http://t.co/SgHR1XvKbd
288,0,@kennobish could do with someone making me a hot chocolate right now ahaha
783,1,"#Irony: al jazeera is pro Anti - #GamerGate because feminism, or something: https://t.co/ECxflDl3FD"
1758,0,Getting my shit together in 2015 like........ #2015isthenewturnup #myboos #funtimes #makingmemories... http://t.co/elqmUTDtwS
1886,0,One of many reasons I dislike #Alabama fans. #auburn #RollTide #myass #jakellmitchell http://t.co/ntk85ngOeG
1509,0,@gayingmorality tis the season for unwanted gifts!
337,0,'nuff #Bob #Couldn039t #Not #Repin #Ross #tattoo|Please RT: http://t.co/3npPprWgTh http://t.co/HNNHaANRAU
1246,1,Ma thing  http://t.co/YVekcrBemZ
3239,0,More than word just in this selfie .. The Egyptian legends. |#BestSelfie2014 | http://t.co/p2GgKDT8Vi
1195,1,Maybe Miss World will succeed where all her predecessors have failed in obtaining World Peace?  #MissWorld2014
3505,1,@AnnamarieRxoxo We study hard.. 📚🙊  #procrastinators 👯
369,0,"@clairebag8 yeah amazing night, I think he out till the death! I'll let u know xx"
192,0,@Justen_G you tweet about having a flip phone? Now that's the definition of 
1903,1,And then there was none. Goodbye beard (of sorts) #MensFashion  http://t.co/OXvQMOBzSB
3276,0,Who wanna hit the slopes? http://t.co/thjIfVDMIA
259,0,In need of a rose winee🍷🍷
3814,0,#WTF is happening to these kids??? Are you kidding me with this?? #insulting #KnowYourHistory #WhoIsPaulMcCartney http://t.co/1tjgEdxm0k
1904,0,Horses are just hornless unicorns :O ||#enlightened #mystical #wow  #on #drugs
1273,0,Follow> @StartOnlineHere now for great tweets about starting an online shop! http://t.co/XYabZWuO5w StartOnlineHere
1737,1,2 days off the next two weeks. 3 in the new yr. Love working over xmas.  #needthemoney
650,1,330am benedryl runs for an allergic reaction to a drug which literally saves millions of lives every year. #yippee #happiness 
548,0,Can't even explain how excited I am for tomorrow. 💯🏀
2930,1,It's gonna be a great day 😃 
2797,1,"@DailyMirror Great job on reporting on a mentally unstable man and calling him ""drug crazed"" "
3793,0,@Samuelsamf @braddrake23 empty threats even #TheBear supports #united http://t.co/uZCNa8XIYe
331,0,#Sarcasm makes you mentally stronger. Which is very effective when dealing with emotional #stress and #fustration.|#funfact #WhatIfISay
3085,0,Can I get an AMEN??! http://t.co/HQJ0hQLRrj
1232,0,@doforsarawak it's a 
2699,0,@SBryanMusic I think I'm gonna check your music out later. Thanks☺
642,0,@WorldDiaMark @RamiBaron let's #not #forget the #origin of a #diamond in #relation with #humanrights #bigdata
1252,0,SCRATCHING THE NIGHT OFF MY EYES
296,0,@alewnes7 he def came out the closet on that AND 1 dunk #rudygay
