index,label,tweet
1,0,Togepi do  shed their www.MonsterMMORPG. com #shell. fally by #MonsterMMORPG #bagon
2,0,Ariana Grandes makeup is always sooo flawless 🙊
3,0,This time last year...shiid was hella funny...unforgettable #khwaaaa
4,1,Gotta love a Romanian playing an improvised version of jingle bells in a minor key. Really sets the festive mood. #not
5,0,Watching #Bones &cradled my leg when I saw @andjwest in episode about chicken #tasteslikechicken #termite #TheWalkingDead @WalkingDead_AMC
6,1,thanks for clearing everything up Koenig  #serialbrady
7,2,"Don't be offended when you hear #HappyHolidays when people refer to #Christmas. The word 'holiday' is derived from ""Holy Day"". #fb "
8,2,"While politicians are busy in scuffles #PakArmy is doing their job yet maligned  ""@peaceful_h:Salute 2 PAKARMY http://t.co/XZje4FxCLf"""
9,2, - Road safety campaign donkey killed by car http://t.co/hnWYc5jp13
10,0,My dorm is actually really creepy when I'm the only one in it... 😖
11,0,@TylerScruggs @Tatious We're going to Hotel Vegas. It's a 1968 themed party.
12,0,Cats are so cute I wish I wasn't allergic 😭😭
13,1,@BBCNormanS @edballsmp That's going to stand him in good stead as. #chancellor. |.
14,1,@nypost I should sue my parents 
15,1,Absolutely love being harassed by a group of twatty adolescents on a late night shop 
16,0,Please dont fuck with me when I first wake up a morning person!
17,0,"Song of the Day: ""The Lights and Buzz"" - Jack's Mannequin."
18,0,"@LiamFoxtrot He's been half paced all season, Henderson would be a bigger loss"
19,1,I should of just made a canvas of coffee stains and be done with it. #art 
20,2,Lesson learnt? Herd of sheep who fought over TVs on #BlackFriday struggling to sell them http://t.co/OMXl5ZPOdY #irony #capitalism
21,1,"Headed to Huntsville, TX this afternoon. Try to contain your jealousy.|"
22,2,Feeling the irony of using  to find people ironically using the work irony wrong. #metahipster
23,0,What do you call a Chinese millionaire?
24,1,@NathanFillion the resemblance is uncanny!  #firefly @Castle_ABC http://t.co/rYWjkNTUEr
25,1,I'm so good at sight singing. 
26,0,Free Dating and Relationships Books #freebiebookdownload http://t.co/qcVGJ0mIFn #GreenLiving
27,1,Beautiful way to start my morning.  😣😷
28,1,My finger is so ducking attractive without my bandage tbh!!! 
29,1,San Diego is amazing and I'm never coming home 
30,0,I've completed Day 3 of the 30 Day Ab Challenge workout. Join me and download the app at http://t.co/hHAo6MR8v3.
31,0,Love hanging out with my dad
32,0,Nothing better than getting a snapchat from @mjbrothers21 with #the weight playing in the background #sameparents #sametunes
33,0, doesn't convey what I want though. #twitterproblemsforme
34,1,So fucking excited to be the 5th wheel for another New Year's Eve!!!! Can't blame anybody but myself for being super picky re: men 
35,2,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend"
36,0,"Day off should be snuggled on the sofa doing nothing..... But alas I have Errons to do so trying up drag myself out of bed,  happening"
37,0,##to#our#countries#special#dedication#to#ma#Syrian#friends#you're#alone#instalisten#by#heart#voice# http://t.co/jOHtHVBKOw
38,1,Spending the majority of my day in and out of the doctor has been awesome. #sarcasm
39,0,#notcies #eu EU backs 328 top early-career researchers with 485 million http://t.co/eFS2Y1Pssc
40,0,@andrewannun damnit dude I'll see you when I get back though
41,2,".@ShawnaTova Computing, the Internet, personal computers & smart phones were all invented by that ""pond scum""  @addictionguy"
42,0,Today has been a blast
43,0,I have this weird urge to buy a hamster
44,0,@bigedh456 Loughton.. And some in Basildon what about u?
45,1,"Don't you just love when you say hi to someone in the hallway and they completely ignore you? Yeah, I love that too. 😒👊 "
46,2,Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask 
47,0,@ZafShabir and a strut to boot
48,1,@dawncflv @MRbelzer he's the detective!!! lol  #OrTypeCast
49,0,"Every parent wants their child to get ahead, help your child with a sponsorship/grant from @TheMMBF #charity"
50,3,I always can't wait to see how  works. #IfYouKnowWhatIMean
51,0,Listen to Paranard  #my mix by polosweets #np on #SoundCloud https://t.co/pm9WKrWqZo
52,0,#Sarcasm makes you mentally stronger. Which is very effective when dealing with emotional #stress and #fustration.|#funfact #WhatIfISay
53,2,A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn
54,1,I love how sometimes I am skipped over so the greeting replies are just towards Odin but not me. 
55,0, alot-still not sussed out how yo keep in touch with peop!e via twitterTwitterversary
56,0,Retweet @Singleoloy101 to have a book signing & screening in your area. http://t.co/zNVC7fpIFf http://t.co/cJzSivQSWx
57,1,"@Esmerodo @MonteMcNaughton @MacLeodLisa Yes, and conventional taxis drive verrrry safely. #pfft #sarcasm"
58,0,Read at http://t.co/HbeAb2hklW the news '#Middle #East #updates #/ #Assad: #US-led #airstrikes  #serious #or #efficient'
59,1,@BillPowers9  but if we all hold hands and sing Kumbaya they won't hate us! 
60,1,because learning for the finals is fucking amazing. 
61,1,"I love getting woken up by my body just to say ""I know you were comfortable sleeping.. But here's something you don't want anyway"" "
62,2,We spend our childhood in a hurry to grow up and when we grow up we want to retain our childlike nature! #justsaying  #lifegoals #kids
63,1,@TheWarRoom_Tom I am sure this has made your day. LoL 
64,0,Check out the new novel Black Beauties by Eureka Johnson on http://t.co/i41rA7tPwm or http://t.co/myWiVY4Juv
65,1,Lol at docs who don't know what they're doing.  #fuckthat
66,1,It's nice to see continuity in our gender struggles. 
67,0,@SamanthaaaBabby then I completely suck as a sub! Haha!  going!!
68,1,Rolled out of bed for closing.... #ilookreallygood #not
69,0,Looking at the stairs & imaging that scary dark creature coming up freaks me out
70,1,I just love being told that I wouldn't have gotten hired if my boss knew I was pregnant.. #ha 
71,0,THEY #CAN'T BE #IDENTIFIED|#UK should  ALLOW more #SYRIAN REFUGEES #ENTRY among them will be #ISLAMISTS potential #TERRORISTS
72,0,@BunnyDhillon17 exactly and we are fighting like animals
73,0,I feel a nap in my near future. #NapTime
74,0,Photoset: leupagus: itsxandy: thefingerfuckingfemalefury: sevenpoints:  getting paid enough to put up... http://t.co/4MXvFgslSC
75,2, in #Iowa. Anti-Union Governor #Branstad having inauguration & ball at #CommunityChoice Credit Union Center. A slap to #AFSCME #Homan
76,2,Event technology session is having Internet problems.   #HSC2024
77,0,I'm knitting a scarf. Yes. Knitting. A scarf. Because manual dexterity and I like knitting. Problems?
78,0,NO PAİN- NO GAİN ! |#Fit #Fitness #gym |#No  #Give #Up 👊💪 http://t.co/SUDpHIbdEZ
79,0,@mattyzee It's ok...thanks for telling me. Passed the idea on to a sydney friend :)
80,0,I literally have plans every night my entire vacation.
81,0,I've got a right thirst on... #NewsYearsEve
82,0,Haha guess my tweet was ok then. Are you back in training @charliejnwalker
83,0,We buy into liberal individualism and see our individual fate as black people in no way linked to the collective fate-Bell Hooks #Ferguson
84,0,"Having a night in with Misha (she still needs twitter), chinese and movies all night #unilife #nightin"
85,1,@being_Akash_ nice to know that you give me so much importance. :)  :] @being_tiger_ n
86,0,"@DSzymborski @Swydan Paul believes Rubby, Webster, Kelly, etc. are bad players based on '15 projections. I believe in their upside."
87,0,Photo: Tuxedo Jumpsuit Sizes:Small-Large Color:Black Price:$65.00 Leave email and size for invoice http://t.co/wZ5qR1PIDB
88,1,"Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. "
89,1,I just loooove arguing with the Insurance company. 
90,1,Obama wants closer relations with a Marxist nation... I'm SHOCKED I tell you!  SHOCKED!    #cuba http://t.co/as75A3kJ9z
91,0,It's freezing out there & very hazy .... Just want to go home.
92,0,#oldfriends#are#old#anymore http://t.co/ZAS59mWKBw
93,0,@TBLightningFeed @RawCharge I sure hope ev1 vaccinations are up to date! #GoBolts @BoltsByTheBay @TBLightning @ThunderBugTBL
94,0,Who wanna hit the slopes? http://t.co/thjIfVDMIA
95,0,#NOT ALL 👌 There good & bad in every occupation & race 📚📖 #Stop Labeling #Not All 💡 http://t.co/CMoOOnNGQi
96,0,"@Eskom_SA street lights on during the day in Clayville, Olifantsfontein. This should not be happening with #loadshedding problems. -on"
97,0,#notcies #eu How Santa Juncker can bring the gift of a healthier EU http://t.co/gcxGK1GBhf
98,1,D-1 test first day ✌️✌️  #read #book #งวย 5555 #doing #home #work =_=
99,3,just dropped my new single||it's me||i'm single 
100,0,30 week scan #not #long #now #exciting #memory #all #good #happy #clear #baby #boy @ Portlaoise... http://t.co/CLfUfZ3vdF
101,0,Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 #mustwatchb4decemberendssobssobs http://t.co/rAc6XdS56z
102,0,It's currently Fair and 4℃ outside.
103,0,"i may have played a part, but i wont take sole credit ;) @Hankin57 @Chief1787"
104,0,"Oh dear, some people don't get #irony 😳"
105,0,"Check out> @stefjamesmusicÃ¢â""¬Â¦music that makes you feel something. #London #UK"
106,0,been about you and I'm still about you
107,3,"juugin everything, niggas got warrants to pay "
108,0,@TheBodyShopUK fine atm is they Glazed Apple shower gel and perfume it smells amazing!
109,0,"#FEMALECONDOMS  |#herpes is  #curable, it #can #be #managed.. http://t.co/0Y1t0CNyZx"
110,1,Christmas shopping on 2hrs sleep is going to be fun!!!!! 
111,0,"My grandma tells me she made raviolis to eat.. You know I yelled back ""fuck you I don't want no ravioli nigga!!!"""
112,1,@sufisal @Muhammad123Ali Putting 123 between Muhammad and Ali? I find your own twitter ID quite blasphemic and offending 
113,1,"Yeah Hastings, Rose, Bird and Beer is a much better 8-11 than Richardson, Zampa, Laughlin and Tait. "
114,2,people speaking of law to protesters who are fighting for justice themselves...  #ModelTownNotForgotten #PAT #PTI #GoNawazGo
115,0,Your friends will bring you down because they fucked up what they had males & females  me fool !
116,1,Today is going to be a great day . #not. 😔
117,1,Haha love when I accidentally spray perfume in my eye 🙆 
118,0,"Everyone has got a selfie stick this year. I've had one for ages, just saying  #mainsteam #TrendSetter"
119,2,No response always seems to attract response. The ! #aintnobodygottimeforthat
120,1,The thing I love the most about coming into work early? Having everyone ask me why I'm here so early. Gets me every time.  #annoying
121,1,Dont you just love Captchas? 
