,tweet,predicted_class,predicted_label,actual_label
0,@restlessduncan @SR_Duncan I accept him the way he is...,irony,1,0
1,Happy stfx day! Lost my #Xring in '12. It was found 2 mo's later glistening on the 18th green of Lost Creek Golf Club. #xringmiracle ,irony,1,1
2,K. Michelle said Lil Kim is Plastic but 65% of her body is fake and silicone. Kim went Plat on PayPal but K has never SEEN platinum. #Irony,irony,1,1
3, doesn't convey what I want though. #twitterproblemsforme,non_ironic,0,0
4,It's hard to take people seriously who can't spell and think grammar is a type of cracker.,non_ironic,0,0
5,TNT replaying the Cavs-Knicks game...maybe the knicks will win this time ,irony,1,1
6,@DlSCORD @FoxNews Hates his anti-American/anti-Constitution policies and actions. Fixed it for you.,non_ironic,0,0
7,Welsh devolution? How's this for starters... http://t.co/47moRb9jPr,non_ironic,0,0
8,"@DIYcookery: A Guide To Coffee 👌 http://t.co/CXJigjMwaa LOL, espresso from that time we went to the Maple Leafs fan fest @sammiebressette",non_ironic,0,0
9,@whatruWARING @LehmanJenny Ya I remember when winning one regular season game was like a super bowl ,irony,1,1
10,Just gave Imperfecto a 3.5/5 rating on @Zomato http://t.co/ZASH9jjB4x,non_ironic,0,0
11,Your friends will bring you down because they fucked up what they had males & females  me fool !,non_ironic,0,0
12,Aaand the hits just keep on coming. #BadDay ,non_ironic,0,0
13,Do I...do I want to know what he has in the bag? #Cthulhu #Christmas #Lovecraft #SantaClaus #funny http://t.co/NhBVda3Q2b,non_ironic,0,0
14,"Accidentally breaking your own computer when your tech support! Haha , talk about employee of the month  #techSupport 💻💾🔫",irony,1,1
15,Gotta love working the day after Christmas  #smellya,non_ironic,0,1
16,Everyone wants the truth but nobody wants to be honest... #irony,irony,1,1
17,"@Ike58Reese I know, but in the big spot (the only time I've watched him) he choked! Haha! Must mean he sucks, right? ",non_ironic,0,1
18,What a pleasant way for Minneapolis' most prestigious publication to describe its female audience.  http://t.co/5Gxuq6WDJk,non_ironic,0,1
19,"Of course I'm not nervous, I'm hyperventilating for fun. ",irony,1,1
20,Photo: 3pc Lace Corset Size: small-2xl Price:$40.00 Leave size and email for invoice http://t.co/xrPRl3TKxm,non_ironic,0,0
21,"@yenisley Aww, you poor thing, I feel so bad for you being in sunny Florida. I don't know how you can handle it!  ;)",non_ironic,0,1
22,Monday morning inspiration! #sarcasm #itstruetho #donttrustnobody #iwokeuplikethis... http://t.co/DQeFbx80v5,non_ironic,0,1
23,Everybody's Talking about Snow and I'm just Sitting Here and the only Snow around is on our Cars.. #snow #not,non_ironic,0,0
24,"@TheStephenLynch: What's the opposite of a cheat day"" called? Because THAT'S what I only have one of per week"" |What he said.",non_ironic,0,0
25," ""@BarakRavid: BREAKING: PM Netanyahu slams EU countries: ""The Europeans are hypocrites that learned nothing from the holocaust""""",non_ironic,0,1
26,"@MyzzCryz she went from a faded orange mess to a dark brown with red streaks. I, of course, forgot to take pictures.",non_ironic,0,0
27,On #HumanRightsDay #Manchester takes first steps towards independence https://t.co/NI6wsFMbc6 .@The45Storm .@AntiFrackingSCO #NotOnwWell,non_ironic,0,0
28,Thanks for shutting the city down.. ,irony,1,1
29,I come up with some ridiculous scenarios in my head 💭,non_ironic,0,0
30,"you do know the ""hands up, dont shoot"" thing has been proven FALSE right? @RBRNetwork1 @RedTaurus1",non_ironic,0,0
31,@ViewfromGorgie |My Jambo buddy sees a more Scottish identity emerging for HMFC.|The John Wilson types can travel to Govan.|,non_ironic,0,1
32,@Watchthisface25 looking forward to the time I have to traipse down the stairs to postie with a baby attached to my nipple! 😳 ,non_ironic,0,1
33,"Just noticed that I crossed 500 followers in past month. Guys, I hope you enjoy the sarcasm b/c we all know my value added is nil ",irony,1,0
34,Can't wait to work with the dream team again today!! #delilyfe  🙈,non_ironic,0,1
35,"@inthisdimension @2AFight No, it's secured by the Cartels so that they can charge huge sums of money for illegals to cross into the US.",irony,1,0
36,group message with bbc to start off my morning thanks Hannah :-) ,non_ironic,0,1
37,@Trags Blount also out. You would think this could be the game that White gets some action. I guess not.,irony,1,0
38,@Braaanchy14: Love randomly waking up at 5:43 am  me everyday multiple times 😒😒,non_ironic,0,1
