,tweet,predicted_class,predicted_label,actual_label
0,"@wilw you didn't make enough of a blót to Ullr (God of Hunting, Skiing, and I assume hockey).",non_ironic,0,0
1,@spen0007 I have the box set of The Complete Steptoe and Son.  That should cheer you up ,non_ironic,0,1
2,WOW Doutzen looks amazing after having a baby,verbal_irony_polarity_contrast,1,0
3,"@Nylons @quick13 @jamieyuccas @chadhartman it was an In progress list of ""MN of the year""",non_ironic,0,0
4,I feel she didn't love me :/ :( :( #im  #ok,verbal_irony_polarity_contrast,1,0
5,Lol! I m enjoying it👭 #Talks #Crazyness #SheNeverLeft  sleepy!! ☺,non_ironic,0,0
6,"Too late, thrown the #PS4 out of the window last night cus i couldn't play  http://t.co/L86S0O47Aq",non_ironic,0,3
7,Something to remember as I head to @AnnexBar tonight. #goodboy http://t.co/bf5EvIEbWU,non_ironic,0,0
8,@C_DLord @C_CWilson1 Lovely on Carnoustie beach this morning...| #soggybreeks,non_ironic,0,1
9,"burger king hacking (07/13 and 11/13) was the weirdest and funniest, definetely ",verbal_irony_polarity_contrast,1,1
10,#TortureReport trending; I wasn't aware J.K. Rowling released her new book. ,non_ironic,0,3
11,I liked a @YouTube video http://t.co/Jzuvo7lsxW NEW Chocolate Bar Palette Review | Semi Sweet vs. Original,non_ironic,0,0
12,Bitches be like ..... #more #appointments #please #not#crazy#enough .... YET @ orthodontist http://t.co/p7PycV1NMU,non_ironic,0,0
13,"@knotaprettygirl man, there is too much  in this tweet.",non_ironic,0,0
14,When someone with retrica wali picture complains about how many filters someone has used in their picture to look pretty..,non_ironic,0,2
15,"By @imjayded_ ""🔥🔥🔥@dipmag Gears up to release its next issue🔜 'Wifey Series' with #covermodels... http://t.co/DQrKfjmYvL",non_ironic,0,0
16,I'm officially on Twitter!### sure what to do after all these pound signs?!?!,non_ironic,0,0
17,@Jordanbrown_97 haha quite right mate! They coonty workers have got it aff easy Al tell ye! Oot here workin like a hamilton accie 👳  😂😂,non_ironic,0,1
18,"The last day of the year and I will be tweeting on my major highpoints of the year ...good, bad and ugly",non_ironic,0,0
19,Wow I feel so bad that you had to actually do your job as a teacher.  #stopcomplaing,verbal_irony_polarity_contrast,1,1
20,"@kevinperry Would be also great if David teamed up with his old man again at the Carols, similar to a few years back.#Greatdou in both cases",non_ironic,0,0
21,@goodgary99 @Neilby70 @ParkzTheDon @TonyBrown03 @GazTheGooner84 @LosDaGooner mmmm 😂😂😂,non_ironic,0,0
22,Wow I feel great ,verbal_irony_polarity_contrast,1,1
23,Like u go to Williamsville east ur parents hand u money but ur so much better than everyone else hahaha ,verbal_irony_polarity_contrast,1,1
24,I love putting up the Christmas tree with the fam☺️🎄 #christmastree,verbal_irony_polarity_contrast,1,0
25,Look behind you # Tara # Ella # Starbucks #mytopgirls @ The Omni Santry http://t.co/6fDS3kpjc7,non_ironic,0,0
26,"This is very likely to end well. More vaccines is exactly what we need -.- ||"" Health and Human Services... http://t.co/ZhlVxWihFl",non_ironic,0,1
27,@TheBodyShopUK I dont know what it is but I'm in love your products Christmas heaven! #love #skincare #beauty 👍💚🛀. http://t.co/ROUQLlla1f,non_ironic,0,0
28,@jcpetit4 dusty as usual🔌 #redbucket http://t.co/U8llvttn59,non_ironic,0,0
29,yet another rainy goshen concert night☔🎻 #surprised ,non_ironic,0,1
30,@PotPolitics @foxnewspolitics Sent it but too slow. I had already posted.,non_ironic,0,0
31,@KarenLawford: Adding #traditional makes the statement #legit #justbecause ,non_ironic,0,1
32,"@icequeenerika yes, we officially try that.  #Gamergate",non_ironic,0,1
33,Christmas music on the stair master #SundayFunday ,non_ironic,0,1
34,": When some archers fight with ""supple"" bows the way hoplites fight with stiff spears. #Archer=#Hoplite #Bow=#Spear",non_ironic,0,2
35,Yay for early morning protestors!  #heavyamountsofsarcasm,non_ironic,0,1
36,@ParasiteCoD maybe you should grind the gym man #not #calling #you #fat,non_ironic,0,3
37,@lids4hats lids sucks officially! Will not use again good,non_ironic,0,0
38,@GalloSays this game is pathetic. How are they losing this game?,non_ironic,0,0
